School Name,Roll/DENI Number,Experience,Event Start,Event End,School Name Clean,Year,county,DEIS (Y/N)
sn muire,17841R,Dream Space Academy for Primary,2018-09-03 10:00:00,03/09/2018 13:00,sn muire,2018,Wexford,Y
ballyshannon ns,15456E,Dream Space Academy for Primary,2018-09-04 14:00:00,04/09/2018 17:00,ballyshannon ns,2018,Kildare,N
colaiste muire crosshaven,62200H,Dream Space Academy for Post-Primary,2018-09-05 14:00:00,05/09/2018 17:00,colaiste muire crosshaven,2018,Cork,N
newport n.s.,19451O,Dream Space Academy for Primary,2018-09-06 10:00:00,06/09/2018 13:00,newport n.s.,2018,Mayo,Y
st roses ns,20010O,Dream Space Academy for Primary,2018-09-06 10:00:00,06/09/2018 13:00,st roses ns,2018,,
carrick on shannon community school,91496V,Dream Space Academy for Post-Primary,2018-09-06 14:00:00,06/09/2018 17:00,carrick on shannon community school,2018,,
st michaels community college,70860W,Dream Space Academy for Post-Primary,2018-09-07 14:00:00,07/09/2018 17:00,st michaels community college,2018,Clare,N
our lady of good counsel boys,19320W,Dream Space Academy for Primary,2018-09-10 10:00:00,10/09/2018 13:00,our lady of good counsel boys,2018,Dublin,N
holy child killiney,60250M,Dream Space Academy for Post-Primary,2018-09-10 14:00:00,10/09/2018 17:00,holy child killiney,2018,Dublin,N
intermediate school killorglin,V93NV09,Dream Space Academy for Post-Primary,2018-09-11 10:00:00,11/09/2018 13:00,intermediate school killorglin,2018,,
tyrrelstown etns,20201V,Dream Space Academy for Primary,2018-09-11 14:00:00,11/09/2018 17:00,tyrrelstown etns,2018,Dublin,N
scoil uí riada,19897I,Dream Space Academy for Primary,2018-09-12 14:00:00,12/09/2018 17:00,scoil uí riada,2018,Kildare,N
coláiste éamonn rís thomas street wexford,63640R,Dream Space Academy for Post-Primary,2018-09-13 14:00:00,13/09/2018 17:00,coláiste éamonn rís thomas street wexford,2018,,
st francis senior school,19668Q,Dream Space Academy for Primary,2018-09-14 10:00:00,14/09/2018 13:00,st francis senior school,2018,Dublin,Y
st. augustine’s ns clontuskert,17919F,Dream Space Academy for Primary,2018-09-17 10:00:00,17/09/2018 13:00,st. augustine’s ns clontuskert,2018,Galway,N
our lady queen of apostles n.s,19566I,Dream Space Academy for Primary,2018-09-18 14:00:00,18/09/2018 17:00,our lady queen of apostles n.s,2018,Dublin,Y
bunscoil loreto,16145P,Dream Space Academy for Primary,2018-09-19 10:00:00,19/09/2018 13:00,bunscoil loreto,2018,Wexford,N
carlanstown ns,18132Q,Dream Space Academy for Primary,2018-09-19 14:00:00,19/09/2018 17:00,carlanstown ns,2018,Meath,N
beneavin college,60511O,Dream Space Academy for Post-Primary,2018-09-20 10:00:00,20/09/2018 13:00,beneavin college,2018,Dublin,Y
colaiste lorcain,70670R,Dream Space Academy for Post-Primary,2018-09-20 14:00:00,20/09/2018 17:00,colaiste lorcain,2018,Kildare,N
glenstalabbey school,64150F,Dream Space Academy for Post-Primary,2018-09-21 14:00:00,21/09/2018 17:00,glenstalabbey school,2018,Limerick,N
scoil san treasa kilshanroe,18445O,Dream Space Academy for Primary,2018-09-24 10:00:00,24/09/2018 13:00,scoil san treasa kilshanroe,2018,Kildare,N
st damians ns,19943M,Dream Space Academy for Primary,2018-09-25 14:00:00,25/09/2018 17:00,st damians ns,2018,Dublin,N
scoil mhuire marino,17576B,Dream Space Academy for Primary,2018-09-28 10:00:00,28/09/2018 13:00,scoil mhuire marino,2018,Wicklow,N
st vincents secondary school,62590A,Dream Space Academy for Post-Primary,2018-10-02 10:00:00,02/10/2018 13:00,st vincents secondary school,2018,Cork,Y
cbs primary tralee,18247K,Dream Space Academy for Primary,2018-10-02 14:00:00,02/10/2018 17:00,cbs primary tralee,2018,Kerry,Y
presentation senior mullingar,18212O,Dream Space Academy for Primary,2018-10-03 10:00:00,03/10/2018 13:00,presentation senior mullingar,2018,Westmeath,Y
the kings hospital,60272W,Dream Space Academy for Post-Primary,2018-10-03 14:00:00,03/10/2018 17:00,the kings hospital,2018,Dublin,N
gaelcholaiste cheitinn,72420E,Dream Space Academy for Post-Primary,2018-10-04 10:00:00,04/10/2018 13:00,gaelcholaiste cheitinn,2018,Tipperary,Y
